sequence_id,source_video_id,subject_id,label,class,split
P000S01G10B10H50UC022000LC021000A008R0_08251609_f00120_f00209,P000S01G10B10H50UC022000LC021000A008R0_08251609,P000,0,applaud,validation
P000S01G10B10H50UC022000LC021000A008R0_08251609_f00150_f00239,P000S01G10B10H50UC022000LC021000A008R0_08251609,P000,0,applaud,validation
P000S01G10B10H50UC022000LC021000A008R0_08251609_f00165_f00254,P000S01G10B10H50UC022000LC021000A008R0_08251609,P000,0,applaud,validation
P000S02G10B00H00UC021000LC021000A008R0_09301543_f00000_f00089,P000S02G10B00H00UC021000LC021000A008R0_09301543,P000,0,applaud,validation
P000S02G10B00H00UC021000LC021000A008R0_09301543_f00030_f00119,P000S02G10B00H00UC021000LC021000A008R0_09301543,P000,0,applaud,validation
P000S02G10B00H00UC021000LC021000A008R0_09301543_f00060_f00149,P000S02G10B00H00UC021000LC021000A008R0_09301543,P000,0,applaud,validation
P000S02G10B00H00UC021000LC021000A008R0_09301543_f00090_f00179,P000S02G10B00H00UC021000LC021000A008R0_09301543,P000,0,applaud,validation
P000S02G10B00H00UC021000LC021000A008R0_09301543_f00120_f00209,P000S02G10B00H00UC021000LC021000A008R0_09301543,P000,0,applaud,validation
P000S02G10B00H00UC021000LC021000A008R0_09301543_f00150_f00239,P000S02G10B00H00UC021000LC021000A008R0_09301543,P000,0,applaud,validation
P000S02G10B00H00UC021000LC021000A008R0_09301543_f00180_f00269,P000S02G10B00H00UC021000LC021000A008R0_09301543,P000,0,applaud,validation
P000S02G10B00H00UC021000LC021000A008R0_09301543_f00209_f00298,P000S02G10B00H00UC021000LC021000A008R0_09301543,P000,0,applaud,validation
P001S07G20B00H20UC102000LC031000A008R0_09061452_f00000_f00089,P001S07G20B00H20UC102000LC031000A008R0_09061452,P001,0,applaud,train
P001S07G20B00H20UC102000LC031000A008R0_09061452_f00030_f00119,P001S07G20B00H20UC102000LC031000A008R0_09061452,P001,0,applaud,train
P001S07G20B00H20UC102000LC031000A008R0_09061452_f00060_f00149,P001S07G20B00H20UC102000LC031000A008R0_09061452,P001,0,applaud,train
P001S07G20B00H20UC102000LC031000A008R0_09061452_f00090_f00179,P001S07G20B00H20UC102000LC031000A008R0_09061452,P001,0,applaud,train
P001S07G20B00H20UC102000LC031000A008R0_09061452_f00120_f00209,P001S07G20B00H20UC102000LC031000A008R0_09061452,P001,0,applaud,train
P001S07G20B00H20UC102000LC031000A008R0_09061452_f00150_f00239,P001S07G20B00H20UC102000LC031000A008R0_09061452,P001,0,applaud,train
P001S07G20B00H20UC102000LC031000A008R0_09061452_f00180_f00269,P001S07G20B00H20UC102000LC031000A008R0_09061452,P001,0,applaud,train
P001S07G20B00H20UC102000LC031000A008R0_09061452_f00206_f00295,P001S07G20B00H20UC102000LC031000A008R0_09061452,P001,0,applaud,train
P002S00G10B50H30UC062000LC092000A008R0_08250945_f00000_f00089,P002S00G10B50H30UC062000LC092000A008R0_08250945,P002,0,applaud,train
P002S00G10B50H30UC062000LC092000A008R0_08250945_f00030_f00119,P002S00G10B50H30UC062000LC092000A008R0_08250945,P002,0,applaud,train
P002S00G10B50H30UC062000LC092000A008R0_08250945_f00060_f00149,P002S00G10B50H30UC062000LC092000A008R0_08250945,P002,0,applaud,train
P002S00G10B50H30UC062000LC092000A008R0_08250945_f00090_f00179,P002S00G10B50H30UC062000LC092000A008R0_08250945,P002,0,applaud,train
P002S00G10B50H30UC062000LC092000A008R0_08250945_f00120_f00209,P002S00G10B50H30UC062000LC092000A008R0_08250945,P002,0,applaud,train
P002S00G10B50H30UC062000LC092000A008R0_08250945_f00150_f00239,P002S00G10B50H30UC062000LC092000A008R0_08250945,P002,0,applaud,train
P002S00G10B50H30UC062000LC092000A008R0_08250945_f00180_f00269,P002S00G10B50H30UC062000LC092000A008R0_08250945,P002,0,applaud,train
P002S00G10B50H30UC062000LC092000A008R0_08250945_f00210_f00299,P002S00G10B50H30UC062000LC092000A008R0_08250945,P002,0,applaud,train
P002S00G10B50H30UC062000LC092000A008R0_08250945_f00240_f00329,P002S00G10B50H30UC062000LC092000A008R0_08250945,P002,0,applaud,train
P002S00G10B50H30UC062000LC092000A008R0_08250945_f00270_f00359,P002S00G10B50H30UC062000LC092000A008R0_08250945,P002,0,applaud,train
P002S00G10B50H30UC062000LC092000A008R0_08250945_f00300_f00389,P002S00G10B50H30UC062000LC092000A008R0_08250945,P002,0,applaud,train
P002S00G10B50H30UC062000LC092000A008R0_08250945_f00327_f00416,P002S00G10B50H30UC062000LC092000A008R0_08250945,P002,0,applaud,train
P002S02G11B00H00UC062001LC032001A008R0_08310854_f00000_f00089,P002S02G11B00H00UC062001LC032001A008R0_08310854,P002,0,applaud,train
P002S02G11B00H00UC062001LC032001A008R0_08310854_f00030_f00119,P002S02G11B00H00UC062001LC032001A008R0_08310854,P002,0,applaud,train
P002S02G11B00H00UC062001LC032001A008R0_08310854_f00060_f00149,P002S02G11B00H00UC062001LC032001A008R0_08310854,P002,0,applaud,train
P002S02G11B00H00UC062001LC032001A008R0_08310854_f00090_f00179,P002S02G11B00H00UC062001LC032001A008R0_08310854,P002,0,applaud,train
P002S02G11B00H00UC062001LC032001A008R0_08310854_f00111_f00200,P002S02G11B00H00UC062001LC032001A008R0_08310854,P002,0,applaud,train
P002S03G10B00H00UC062000LC092000A008R0_09071427_f00000_f00089,P002S03G10B00H00UC062000LC092000A008R0_09071427,P002,0,applaud,train
P002S03G10B00H00UC062000LC092000A008R0_09071427_f00030_f00119,P002S03G10B00H00UC062000LC092000A008R0_09071427,P002,0,applaud,train
P002S03G10B00H00UC062000LC092000A008R0_09071427_f00060_f00149,P002S03G10B00H00UC062000LC092000A008R0_09071427,P002,0,applaud,train
P002S03G10B00H00UC062000LC092000A008R0_09071427_f00090_f00179,P002S03G10B00H00UC062000LC092000A008R0_09071427,P002,0,applaud,train
P002S03G10B00H00UC062000LC092000A008R0_09071427_f00120_f00209,P002S03G10B00H00UC062000LC092000A008R0_09071427,P002,0,applaud,train
P002S03G10B00H00UC062000LC092000A008R0_09071427_f00150_f00239,P002S03G10B00H00UC062000LC092000A008R0_09071427,P002,0,applaud,train
P002S03G10B00H00UC062000LC092000A008R0_09071427_f00180_f00269,P002S03G10B00H00UC062000LC092000A008R0_09071427,P002,0,applaud,train
P002S03G10B00H00UC062000LC092000A008R0_09071427_f00195_f00284,P002S03G10B00H00UC062000LC092000A008R0_09071427,P002,0,applaud,train
P003S00G10B50H30UC012000LC021000A008R0_08251032_f00000_f00089,P003S00G10B50H30UC012000LC021000A008R0_08251032,P003,0,applaud,train
P003S00G10B50H30UC012000LC021000A008R0_08251032_f00030_f00119,P003S00G10B50H30UC012000LC021000A008R0_08251032,P003,0,applaud,train
P003S00G10B50H30UC012000LC021000A008R0_08251032_f00060_f00149,P003S00G10B50H30UC012000LC021000A008R0_08251032,P003,0,applaud,train
P003S00G10B50H30UC012000LC021000A008R0_08251032_f00090_f00179,P003S00G10B50H30UC012000LC021000A008R0_08251032,P003,0,applaud,train
P003S00G10B50H30UC012000LC021000A008R0_08251032_f00120_f00209,P003S00G10B50H30UC012000LC021000A008R0_08251032,P003,0,applaud,train
P003S00G10B50H30UC012000LC021000A008R0_08251032_f00150_f00239,P003S00G10B50H30UC012000LC021000A008R0_08251032,P003,0,applaud,train
P003S00G10B50H30UC012000LC021000A008R0_08251032_f00180_f00269,P003S00G10B50H30UC012000LC021000A008R0_08251032,P003,0,applaud,train
P003S00G10B50H30UC012000LC021000A008R0_08251032_f00197_f00286,P003S00G10B50H30UC012000LC021000A008R0_08251032,P003,0,applaud,train
P004S00G10B50H40UC092000LC022000A008R0_08251032_f00000_f00089,P004S00G10B50H40UC092000LC022000A008R0_08251032,P004,0,applaud,validation
P004S00G10B50H40UC092000LC022000A008R0_08251032_f00030_f00119,P004S00G10B50H40UC092000LC022000A008R0_08251032,P004,0,applaud,validation
P004S00G10B50H40UC092000LC022000A008R0_08251032_f00060_f00149,P004S00G10B50H40UC092000LC022000A008R0_08251032,P004,0,applaud,validation
P004S00G10B50H40UC092000LC022000A008R0_08251032_f00090_f00179,P004S00G10B50H40UC092000LC022000A008R0_08251032,P004,0,applaud,validation
P004S00G10B50H40UC092000LC022000A008R0_08251032_f00120_f00209,P004S00G10B50H40UC092000LC022000A008R0_08251032,P004,0,applaud,validation
P004S00G10B50H40UC092000LC022000A008R0_08251032_f00150_f00239,P004S00G10B50H40UC092000LC022000A008R0_08251032,P004,0,applaud,validation
P004S00G10B50H40UC092000LC022000A008R0_08251032_f00180_f00269,P004S00G10B50H40UC092000LC022000A008R0_08251032,P004,0,applaud,validation
P004S00G10B50H40UC092000LC022000A008R0_08251032_f00203_f00292,P004S00G10B50H40UC092000LC022000A008R0_08251032,P004,0,applaud,validation
P005S00G10B30H20UC022000LC022000A008R0_08260856_f00000_f00089,P005S00G10B30H20UC022000LC022000A008R0_08260856,P005,0,applaud,train
P005S00G10B30H20UC022000LC022000A008R0_08260856_f00030_f00119,P005S00G10B30H20UC022000LC022000A008R0_08260856,P005,0,applaud,train
P005S00G10B30H20UC022000LC022000A008R0_08260856_f00060_f00149,P005S00G10B30H20UC022000LC022000A008R0_08260856,P005,0,applaud,train
P005S00G10B30H20UC022000LC022000A008R0_08260856_f00090_f00179,P005S00G10B30H20UC022000LC022000A008R0_08260856,P005,0,applaud,train
P005S00G10B30H20UC022000LC022000A008R0_08260856_f00120_f00209,P005S00G10B30H20UC022000LC022000A008R0_08260856,P005,0,applaud,train
P005S00G10B30H20UC022000LC022000A008R0_08260856_f00139_f00228,P005S00G10B30H20UC022000LC022000A008R0_08260856,P005,0,applaud,train
P005S00G10B50H10UC022000LC022000A008R0_08251425_f00000_f00089,P005S00G10B50H10UC022000LC022000A008R0_08251425,P005,0,applaud,train
P005S00G10B50H10UC022000LC022000A008R0_08251425_f00030_f00119,P005S00G10B50H10UC022000LC022000A008R0_08251425,P005,0,applaud,train
P005S00G10B50H10UC022000LC022000A008R0_08251425_f00060_f00149,P005S00G10B50H10UC022000LC022000A008R0_08251425,P005,0,applaud,train
P005S00G10B50H10UC022000LC022000A008R0_08251425_f00090_f00179,P005S00G10B50H10UC022000LC022000A008R0_08251425,P005,0,applaud,train
P005S00G10B50H10UC022000LC022000A008R0_08251425_f00120_f00209,P005S00G10B50H10UC022000LC022000A008R0_08251425,P005,0,applaud,train
P006S00G10B10H10UC072000LC022000A008R0_08251156_f00000_f00089,P006S00G10B10H10UC072000LC022000A008R0_08251156,P006,0,applaud,train
P006S00G10B10H10UC072000LC022000A008R0_08251156_f00030_f00119,P006S00G10B10H10UC072000LC022000A008R0_08251156,P006,0,applaud,train
P006S00G10B10H10UC072000LC022000A008R0_08251156_f00060_f00149,P006S00G10B10H10UC072000LC022000A008R0_08251156,P006,0,applaud,train
P006S00G10B10H10UC072000LC022000A008R0_08251156_f00090_f00179,P006S00G10B10H10UC072000LC022000A008R0_08251156,P006,0,applaud,train
P006S00G10B10H10UC072000LC022000A008R0_08251156_f00120_f00209,P006S00G10B10H10UC072000LC022000A008R0_08251156,P006,0,applaud,train
P006S00G10B10H10UC072000LC022000A008R0_08251156_f00150_f00239,P006S00G10B10H10UC072000LC022000A008R0_08251156,P006,0,applaud,train
P006S00G10B10H10UC072000LC022000A008R0_08251156_f00162_f00251,P006S00G10B10H10UC072000LC022000A008R0_08251156,P006,0,applaud,train
P006S04G11B30H20UC072001LC022001A008R0_08311746_f00000_f00089,P006S04G11B30H20UC072001LC022001A008R0_08311746,P006,0,applaud,train
P006S04G11B30H20UC072001LC022001A008R0_08311746_f00030_f00119,P006S04G11B30H20UC072001LC022001A008R0_08311746,P006,0,applaud,train
P006S04G11B30H20UC072001LC022001A008R0_08311746_f00060_f00149,P006S04G11B30H20UC072001LC022001A008R0_08311746,P006,0,applaud,train
P006S04G11B30H20UC072001LC022001A008R0_08311746_f00090_f00179,P006S04G11B30H20UC072001LC022001A008R0_08311746,P006,0,applaud,train
P006S04G11B30H20UC072001LC022001A008R0_08311746_f00120_f00209,P006S04G11B30H20UC072001LC022001A008R0_08311746,P006,0,applaud,train
P006S04G11B30H20UC072001LC022001A008R0_08311746_f00150_f00239,P006S04G11B30H20UC072001LC022001A008R0_08311746,P006,0,applaud,train
P006S04G11B30H20UC072001LC022001A008R0_08311746_f00161_f00250,P006S04G11B30H20UC072001LC022001A008R0_08311746,P006,0,applaud,train
P007S00G10B40H50UC022000LC052000A008R0_08251156_f00000_f00089,P007S00G10B40H50UC022000LC052000A008R0_08251156,P007,0,applaud,train
P007S00G10B40H50UC022000LC052000A008R0_08251156_f00030_f00119,P007S00G10B40H50UC022000LC052000A008R0_08251156,P007,0,applaud,train
P007S00G10B40H50UC022000LC052000A008R0_08251156_f00060_f00149,P007S00G10B40H50UC022000LC052000A008R0_08251156,P007,0,applaud,train
P007S00G10B40H50UC022000LC052000A008R0_08251156_f00090_f00179,P007S00G10B40H50UC022000LC052000A008R0_08251156,P007,0,applaud,train
P007S00G10B40H50UC022000LC052000A008R0_08251156_f00120_f00209,P007S00G10B40H50UC022000LC052000A008R0_08251156,P007,0,applaud,train
P007S00G10B40H50UC022000LC052000A008R0_08251156_f00150_f00239,P007S00G10B40H50UC022000LC052000A008R0_08251156,P007,0,applaud,train
P007S00G10B40H50UC022000LC052000A008R0_08251156_f00168_f00257,P007S00G10B40H50UC022000LC052000A008R0_08251156,P007,0,applaud,train
P007S02G10B00H00UC022000LC022000A008R0_09011655_f00000_f00089,P007S02G10B00H00UC022000LC022000A008R0_09011655,P007,0,applaud,train
P007S02G10B00H00UC022000LC022000A008R0_09011655_f00030_f00119,P007S02G10B00H00UC022000LC022000A008R0_09011655,P007,0,applaud,train
P007S02G10B00H00UC022000LC022000A008R0_09011655_f00060_f00149,P007S02G10B00H00UC022000LC022000A008R0_09011655,P007,0,applaud,train
P007S02G10B00H00UC022000LC022000A008R0_09011655_f00090_f00179,P007S02G10B00H00UC022000LC022000A008R0_09011655,P007,0,applaud,train
P007S02G10B00H00UC022000LC022000A008R0_09011655_f00120_f00209,P007S02G10B00H00UC022000LC022000A008R0_09011655,P007,0,applaud,train
P007S02G10B00H00UC022000LC022000A008R0_09011655_f00150_f00239,P007S02G10B00H00UC022000LC022000A008R0_09011655,P007,0,applaud,train
P007S02G10B00H00UC022000LC022000A008R0_09011655_f00174_f00263,P007S02G10B00H00UC022000LC022000A008R0_09011655,P007,0,applaud,train
P009S00G10B10H10UC032000LC032000A008R0_08251425_f00000_f00089,P009S00G10B10H10UC032000LC032000A008R0_08251425,P009,0,applaud,train
P009S00G10B10H10UC032000LC032000A008R0_08251425_f00030_f00119,P009S00G10B10H10UC032000LC032000A008R0_08251425,P009,0,applaud,train
P009S00G10B10H10UC032000LC032000A008R0_08251425_f00060_f00149,P009S00G10B10H10UC032000LC032000A008R0_08251425,P009,0,applaud,train
P009S00G10B10H10UC032000LC032000A008R0_08251425_f00090_f00179,P009S00G10B10H10UC032000LC032000A008R0_08251425,P009,0,applaud,train
P009S00G10B10H10UC032000LC032000A008R0_08251425_f00120_f00209,P009S00G10B10H10UC032000LC032000A008R0_08251425,P009,0,applaud,train
P009S00G10B10H10UC032000LC032000A008R0_08251425_f00150_f00239,P009S00G10B10H10UC032000LC032000A008R0_08251425,P009,0,applaud,train
P009S00G10B10H10UC032000LC032000A008R0_08251425_f00180_f00269,P009S00G10B10H10UC032000LC032000A008R0_08251425,P009,0,applaud,train
P009S00G10B10H10UC032000LC032000A008R0_08251425_f00195_f00284,P009S00G10B10H10UC032000LC032000A008R0_08251425,P009,0,applaud,train
P009S02G10B00H00UC011000LC032000A008R0_09271533_f00000_f00089,P009S02G10B00H00UC011000LC032000A008R0_09271533,P009,0,applaud,train
P009S02G10B00H00UC011000LC032000A008R0_09271533_f00030_f00119,P009S02G10B00H00UC011000LC032000A008R0_09271533,P009,0,applaud,train
P009S02G10B00H00UC011000LC032000A008R0_09271533_f00060_f00149,P009S02G10B00H00UC011000LC032000A008R0_09271533,P009,0,applaud,train
P009S02G10B00H00UC011000LC032000A008R0_09271533_f00090_f00179,P009S02G10B00H00UC011000LC032000A008R0_09271533,P009,0,applaud,train
P009S02G10B00H00UC011000LC032000A008R0_09271533_f00120_f00209,P009S02G10B00H00UC011000LC032000A008R0_09271533,P009,0,applaud,train
P009S02G10B00H00UC011000LC032000A008R0_09271533_f00150_f00239,P009S02G10B00H00UC011000LC032000A008R0_09271533,P009,0,applaud,train
P009S02G10B00H00UC011000LC032000A008R0_09271533_f00180_f00269,P009S02G10B00H00UC011000LC032000A008R0_09271533,P009,0,applaud,train
P009S02G10B00H00UC011000LC032000A008R0_09271533_f00201_f00290,P009S02G10B00H00UC011000LC032000A008R0_09271533,P009,0,applaud,train
P009S02G10B00H00UC042000LC062000A008R0_09011558_f00000_f00089,P009S02G10B00H00UC042000LC062000A008R0_09011558,P009,0,applaud,train
P009S02G10B00H00UC042000LC062000A008R0_09011558_f00030_f00119,P009S02G10B00H00UC042000LC062000A008R0_09011558,P009,0,applaud,train
P009S02G10B00H00UC042000LC062000A008R0_09011558_f00060_f00149,P009S02G10B00H00UC042000LC062000A008R0_09011558,P009,0,applaud,train
P009S02G10B00H00UC042000LC062000A008R0_09011558_f00090_f00179,P009S02G10B00H00UC042000LC062000A008R0_09011558,P009,0,applaud,train
P009S02G10B00H00UC042000LC062000A008R0_09011558_f00116_f00205,P009S02G10B00H00UC042000LC062000A008R0_09011558,P009,0,applaud,train
P010S00G10B40H30UC072000LC061000A008R0_08251425_f00000_f00089,P010S00G10B40H30UC072000LC061000A008R0_08251425,P010,0,applaud,validation
P010S00G10B40H30UC072000LC061000A008R0_08251425_f00030_f00119,P010S00G10B40H30UC072000LC061000A008R0_08251425,P010,0,applaud,validation
P010S00G10B40H30UC072000LC061000A008R0_08251425_f00060_f00149,P010S00G10B40H30UC072000LC061000A008R0_08251425,P010,0,applaud,validation
P010S00G10B40H30UC072000LC061000A008R0_08251425_f00090_f00179,P010S00G10B40H30UC072000LC061000A008R0_08251425,P010,0,applaud,validation
P010S00G10B40H30UC072000LC061000A008R0_08251425_f00120_f00209,P010S00G10B40H30UC072000LC061000A008R0_08251425,P010,0,applaud,validation
P010S00G10B40H30UC072000LC061000A008R0_08251425_f00150_f00239,P010S00G10B40H30UC072000LC061000A008R0_08251425,P010,0,applaud,validation
P010S00G10B40H30UC072000LC061000A008R0_08251425_f00180_f00269,P010S00G10B40H30UC072000LC061000A008R0_08251425,P010,0,applaud,validation
P010S00G10B40H30UC072000LC061000A008R0_08251425_f00210_f00299,P010S00G10B40H30UC072000LC061000A008R0_08251425,P010,0,applaud,validation
P010S00G10B40H30UC072000LC061000A008R0_08251425_f00236_f00325,P010S00G10B40H30UC072000LC061000A008R0_08251425,P010,0,applaud,validation
P010S01G10B50H50UC072000LC091000A008R0_08261755_f00000_f00089,P010S01G10B50H50UC072000LC091000A008R0_08261755,P010,0,applaud,validation
P010S01G10B50H50UC072000LC091000A008R0_08261755_f00030_f00119,P010S01G10B50H50UC072000LC091000A008R0_08261755,P010,0,applaud,validation
P010S01G10B50H50UC072000LC091000A008R0_08261755_f00060_f00149,P010S01G10B50H50UC072000LC091000A008R0_08261755,P010,0,applaud,validation
P010S01G10B50H50UC072000LC091000A008R0_08261755_f00090_f00179,P010S01G10B50H50UC072000LC091000A008R0_08261755,P010,0,applaud,validation
P010S01G10B50H50UC072000LC091000A008R0_08261755_f00120_f00209,P010S01G10B50H50UC072000LC091000A008R0_08261755,P010,0,applaud,validation
P010S01G10B50H50UC072000LC091000A008R0_08261755_f00134_f00223,P010S01G10B50H50UC072000LC091000A008R0_08261755,P010,0,applaud,validation
P013S00G10B50H40UC032000LC021000A008R0_08260955_f00000_f00089,P013S00G10B50H40UC032000LC021000A008R0_08260955,P013,0,applaud,train
P013S00G10B50H40UC032000LC021000A008R0_08260955_f00030_f00119,P013S00G10B50H40UC032000LC021000A008R0_08260955,P013,0,applaud,train
P013S00G10B50H40UC032000LC021000A008R0_08260955_f00060_f00149,P013S00G10B50H40UC032000LC021000A008R0_08260955,P013,0,applaud,train
P013S00G10B50H40UC032000LC021000A008R0_08260955_f00090_f00179,P013S00G10B50H40UC032000LC021000A008R0_08260955,P013,0,applaud,train
P013S00G10B50H40UC032000LC021000A008R0_08260955_f00120_f00209,P013S00G10B50H40UC032000LC021000A008R0_08260955,P013,0,applaud,train
P013S00G10B50H40UC032000LC021000A008R0_08260955_f00150_f00239,P013S00G10B50H40UC032000LC021000A008R0_08260955,P013,0,applaud,train
P013S00G10B50H40UC032000LC021000A008R0_08260955_f00164_f00253,P013S00G10B50H40UC032000LC021000A008R0_08260955,P013,0,applaud,train
P013S01G10B00H00UC022000LC031000A008R0_09051529_f00000_f00089,P013S01G10B00H00UC022000LC031000A008R0_09051529,P013,0,applaud,train
P013S01G10B00H00UC022000LC031000A008R0_09051529_f00030_f00119,P013S01G10B00H00UC022000LC031000A008R0_09051529,P013,0,applaud,train
P013S01G10B00H00UC022000LC031000A008R0_09051529_f00060_f00149,P013S01G10B00H00UC022000LC031000A008R0_09051529,P013,0,applaud,train
P013S01G10B00H00UC022000LC031000A008R0_09051529_f00090_f00179,P013S01G10B00H00UC022000LC031000A008R0_09051529,P013,0,applaud,train
P013S01G10B00H00UC022000LC031000A008R0_09051529_f00120_f00209,P013S01G10B00H00UC022000LC031000A008R0_09051529,P013,0,applaud,train
P013S01G10B00H00UC022000LC031000A008R0_09051529_f00150_f00239,P013S01G10B00H00UC022000LC031000A008R0_09051529,P013,0,applaud,train
P013S01G10B00H00UC022000LC031000A008R0_09051529_f00180_f00269,P013S01G10B00H00UC022000LC031000A008R0_09051529,P013,0,applaud,train
P013S01G10B00H00UC022000LC031000A008R0_09051529_f00189_f00278,P013S01G10B00H00UC022000LC031000A008R0_09051529,P013,0,applaud,train
P014S00G10B40H20UC072000LC022000A008R0_08261035_f00000_f00089,P014S00G10B40H20UC072000LC022000A008R0_08261035,P014,0,applaud,train
P014S00G10B40H20UC072000LC022000A008R0_08261035_f00030_f00119,P014S00G10B40H20UC072000LC022000A008R0_08261035,P014,0,applaud,train
P014S00G10B40H20UC072000LC022000A008R0_08261035_f00060_f00149,P014S00G10B40H20UC072000LC022000A008R0_08261035,P014,0,applaud,train
P014S00G10B40H20UC072000LC022000A008R0_08261035_f00090_f00179,P014S00G10B40H20UC072000LC022000A008R0_08261035,P014,0,applaud,train
P014S00G10B40H20UC072000LC022000A008R0_08261035_f00120_f00209,P014S00G10B40H20UC072000LC022000A008R0_08261035,P014,0,applaud,train
P014S00G10B40H20UC072000LC022000A008R0_08261035_f00150_f00239,P014S00G10B40H20UC072000LC022000A008R0_08261035,P014,0,applaud,train
P014S00G10B40H20UC072000LC022000A008R0_08261035_f00180_f00269,P014S00G10B40H20UC072000LC022000A008R0_08261035,P014,0,applaud,train
P014S00G10B40H20UC072000LC022000A008R0_08261035_f00190_f00279,P014S00G10B40H20UC072000LC022000A008R0_08261035,P014,0,applaud,train
P018S01G10B00H00UC012000LC022000A008R0_09111438_f00000_f00089,P018S01G10B00H00UC012000LC022000A008R0_09111438,P018,0,applaud,test
P018S01G10B00H00UC012000LC022000A008R0_09111438_f00030_f00119,P018S01G10B00H00UC012000LC022000A008R0_09111438,P018,0,applaud,test
P018S01G10B00H00UC012000LC022000A008R0_09111438_f00060_f00149,P018S01G10B00H00UC012000LC022000A008R0_09111438,P018,0,applaud,test
P018S01G10B00H00UC012000LC022000A008R0_09111438_f00090_f00179,P018S01G10B00H00UC012000LC022000A008R0_09111438,P018,0,applaud,test
P018S01G10B00H00UC012000LC022000A008R0_09111438_f00111_f00200,P018S01G10B00H00UC012000LC022000A008R0_09111438,P018,0,applaud,test
P020S00G20B50H40UC022000LC041000A008R0_08261615_f00000_f00089,P020S00G20B50H40UC022000LC041000A008R0_08261615,P020,0,applaud,train
P020S00G20B50H40UC022000LC041000A008R0_08261615_f00030_f00119,P020S00G20B50H40UC022000LC041000A008R0_08261615,P020,0,applaud,train
P020S00G20B50H40UC022000LC041000A008R0_08261615_f00060_f00149,P020S00G20B50H40UC022000LC041000A008R0_08261615,P020,0,applaud,train
P020S00G20B50H40UC022000LC041000A008R0_08261615_f00090_f00179,P020S00G20B50H40UC022000LC041000A008R0_08261615,P020,0,applaud,train
P020S00G20B50H40UC022000LC041000A008R0_08261615_f00120_f00209,P020S00G20B50H40UC022000LC041000A008R0_08261615,P020,0,applaud,train
P020S00G20B50H40UC022000LC041000A008R0_08261615_f00150_f00239,P020S00G20B50H40UC022000LC041000A008R0_08261615,P020,0,applaud,train
P020S00G20B50H40UC022000LC041000A008R0_08261615_f00180_f00269,P020S00G20B50H40UC022000LC041000A008R0_08261615,P020,0,applaud,train
P020S00G20B50H40UC022000LC041000A008R0_08261615_f00187_f00276,P020S00G20B50H40UC022000LC041000A008R0_08261615,P020,0,applaud,train
